instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
random3BodyIsing_L=100_1.h5,198,0.025048464442403835,-384.69113,-389.385,-388.24976,0.2915505,-0.9250601,0.061245991,0.132926809,0.125484175
random3BodyIsing_L=100_10.h5,198,0.025048464442403835,-396.7123,-401.5751,-399.99405,0.39371333,-0.8272338,0.040066183,0.081600721,0.049099311
random3BodyIsing_L=100_2.h5,198,0.025048464442403835,-407.1629,-416.55743,-416.55743,0.0,-2.307315,0.059471222,0.095412663,0.065708498
random3BodyIsing_L=100_3.h5,198,0.025048464442403835,-374.46884,-375.46597,-373.6341,0.4878947,0.22291501,0.039345393,0.076530248,0.068866473
random3BodyIsing_L=100_4.h5,198,0.025048464442403835,-417.73773,-421.15707,-420.9166,0.057099488,-0.7609711,0.038720193,0.085423208,0.056591389
random3BodyIsing_L=100_5.h5,198,0.025048464442403835,-392.12704,-393.70532,-392.1984,0.3827552,-0.018195659,0.056028494,0.095720369,0.147722134
random3BodyIsing_L=100_6.h5,198,0.025048464442403835,-376.11932,-377.41095,-376.67352,0.19539091,-0.14734665,0.042646153,0.080858985,0.042213905
random3BodyIsing_L=100_7.h5,198,0.025048464442403835,-360.65698,-364.38748,-363.73553,0.17891587,-0.8535956,0.063862281,0.083873687,0.079791786
random3BodyIsing_L=100_8.h5,198,0.025048464442403835,-437.04074,-441.8759,-440.64838,0.27779487,-0.8254689,0.040509741,0.087151488,0.112340756
random3BodyIsing_L=100_9.h5,198,0.025048464442403835,-376.2172,-379.72958,-379.69244,0.009780616,-0.9237351,0.039169829,0.091288673,0.182251221
random3BodyIsing_L=156_1.h5,310,0.016045785639958378,-613.1673,-622.6521,-616.0292,1.0636638,-0.46673682,0.060865082,0.13534853,0.063705304
random3BodyIsing_L=156_10.h5,310,0.016045785639958378,-581.6909,-582.01935,-579.36755,0.45561963,0.3994156,0.039612215,1.513565283,0.070767041
random3BodyIsing_L=156_2.h5,310,0.016045785639958378,-587.52985,-605.6964,-603.6763,0.3335238,-2.7481878,0.061085762,0.126845889,0.074790486
random3BodyIsing_L=156_3.h5,310,0.016045785639958378,-630.40717,-631.30347,-625.4553,0.9263603,0.78549916,0.04063717,1.509048691,0.059450224
random3BodyIsing_L=156_4.h5,310,0.016045785639958378,-574.4905,-575.61743,-571.1832,0.7703388,0.5756842,0.039926092,1.501041693,0.086969699
