instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
random3BodyIsing_L=100_1.h5,198,0.025048464442403835,-384.69113,-389.385,-384.2395,1.3214447,0.11740058,0.014186775,0.132926809,0.125484175
random3BodyIsing_L=100_10.h5,198,0.025048464442403835,-396.7123,-401.5751,-399.41205,0.5386428,-0.6805278,0.014061468,0.081600721,0.049099311
random3BodyIsing_L=100_2.h5,198,0.025048464442403835,-407.1629,-416.55743,-415.82178,0.17660391,-2.1266363,0.01416691,0.095412663,0.065708498
random3BodyIsing_L=100_3.h5,198,0.025048464442403835,-374.46884,-375.46597,-374.04205,0.37924066,0.11397165,0.013880516,0.076530248,0.068866473
random3BodyIsing_L=100_4.h5,198,0.025048464442403835,-417.73773,-421.15707,-416.46527,1.1140268,0.3046076,0.014105884,0.085423208,0.056591389
random3BodyIsing_L=100_5.h5,198,0.025048464442403835,-392.12704,-393.70532,-389.73694,1.0079578,0.6095234,0.014161944,0.095720369,0.147722134
random3BodyIsing_L=100_6.h5,198,0.025048464442403835,-376.11932,-377.41095,-375.0968,0.61316395,0.27186108,0.014602912,0.080858985,0.042213905
random3BodyIsing_L=100_7.h5,198,0.025048464442403835,-360.65698,-364.38748,-360.8737,0.96430147,-0.060086265,0.014115727,0.083873687,0.079791786
random3BodyIsing_L=100_8.h5,198,0.025048464442403835,-437.04074,-441.8759,-437.70673,0.9435136,-0.15238513,0.01674992,0.087151488,0.112340756
random3BodyIsing_L=100_9.h5,198,0.025048464442403835,-376.2172,-379.72958,-378.57477,0.3041153,-0.6266525,0.014331372,0.091288673,0.182251221
random3BodyIsing_L=156_1.h5,310,0.016045785639958378,-613.1673,-622.6521,-616.5879,0.97393215,-0.55785644,0.016993324,0.13534853,0.063705304
random3BodyIsing_L=156_10.h5,310,0.016045785639958378,-581.6909,-582.01935,-581.0497,0.16660365,0.110236436,0.014072301,1.513565283,0.070767041
random3BodyIsing_L=156_2.h5,310,0.016045785639958378,-587.52985,-605.6964,-600.2226,0.90372276,-2.1603582,0.014323756,0.126845889,0.074790486
random3BodyIsing_L=156_3.h5,310,0.016045785639958378,-630.40717,-631.30347,-625.0758,0.9864766,0.84570104,0.014511836,1.509048691,0.059450224
random3BodyIsing_L=156_4.h5,310,0.016045785639958378,-574.4905,-575.61743,-566.13745,1.6469238,1.4539888,0.017477355,1.501041693,0.086969699
random3BodyIsing_L=156_5.h5,310,0.016045785639958378,-607.1347,-607.5189,-602.8329,0.7713398,0.7085444,0.031399771,1.512787183,0.089435261
random3BodyIsing_L=156_6.h5,310,0.016045785639958378,-627.8011,-627.8011,-615.3746,1.9793712,1.9793712,0.014215471,1.49621419,0.055922174
random3BodyIsing_L=156_7.h5,310,0.016045785639958378,-642.0776,-642.661,-637.0622,0.87119275,0.78111756,0.01355103,1.497502455,0.057446264
random3BodyIsing_L=156_8.h5,310,0.016045785639958378,-602.17584,-602.57544,-596.70166,0.9747791,0.90906703,0.017386077,1.512282626,0.073552307
random3BodyIsing_L=156_9.h5,310,0.016045785639958378,-638.4349,-639.2657,-631.7678,1.172887,1.0442808,0.013075021,1.487834746,0.058029374
random3BodyIsing_L=433_1.h5,864,0.005776320301783265,-1687.9453,-1695.6617,-1675.5554,1.1857508,0.73402214,0.017627636,3.961976134,0.209223561
random3BodyIsing_L=433_10.h5,864,0.005776320301783265,-1700.3716,-1708.965,-1676.5863,1.8946359,1.3988283,0.013498126,3.96415835,0.289217589
random3BodyIsing_L=433_2.h5,864,0.005776320301783265,-1748.1746,-1754.1554,-1727.8132,1.5017006,1.1647193,0.016450169,3.966004334,0.227544515
