instance,size,density,sa_energy,cplex_energy,velox_energy,gap_cplex,gap_sa,runtime_velox,runtime_sa,runtime_cplex
weighted_max3SATIsing_sparse_L=100_1.h5,198,0.02066115702479339,-67.42223,-67.42223,-67.42223,0.0,0.0,0.059499936,1.032957105,0.005838026
weighted_max3SATIsing_sparse_L=100_10.h5,198,0.01969186817671666,-63.198326,-63.207115,-63.207115,0.0,-0.013907112,0.055606233,0.999894023,0.005634026
weighted_max3SATIsing_sparse_L=100_2.h5,198,0.019589837771655953,-58.51021,-58.564102,-58.564106,-6.5137124e-6,-0.09211702,0.057664368,1.00286934,0.005494929
weighted_max3SATIsing_sparse_L=100_3.h5,198,0.01964085297418631,-67.84631,-67.84631,-67.84631,0.0,0.0,0.060212099,0.976699623,0.005773601
weighted_max3SATIsing_sparse_L=100_4.h5,198,0.01928374655647383,-57.626877,-57.687733,-57.687733,0.0,-0.10560327,0.054295295,0.991712036,0.005235455
weighted_max3SATIsing_sparse_L=100_5.h5,198,0.020202020202020204,-64.650246,-64.65024,-64.65024,0.0,1.1801029e-5,0.054845126,1.019676208,0.00577793
weighted_max3SATIsing_sparse_L=100_6.h5,198,0.019844913784307725,-67.73011,-67.74759,-67.74759,0.0,-0.025806753,0.055561428,1.002836909,0.005569532
weighted_max3SATIsing_sparse_L=100_7.h5,198,0.020610141822263034,-58.448605,-58.539265,-58.539265,0.0,-0.15511079,0.053181568,1.048935554,0.005939021
weighted_max3SATIsing_sparse_L=100_8.h5,198,0.020406081012141617,-62.89865,-62.922474,-62.92247,6.0625352e-6,-0.03786881,0.054848424,1.034225921,0.005608937
weighted_max3SATIsing_sparse_L=100_9.h5,198,0.020253035404550555,-63.350777,-63.350773,-63.350777,-6.0215484e-6,0.0,0.052562818,1.032090651,0.005646584
weighted_max3SATIsing_sparse_L=156_1.h5,310,0.012903225806451613,-92.615776,-92.84442,-92.84442,0.0,-0.24687512,0.055113,1.605499539,0.007490091
weighted_max3SATIsing_sparse_L=156_10.h5,310,0.013090530697190426,-88.03917,-88.609665,-88.60967,-8.610115e-6,-0.64801073,0.052675978,1.634408898,0.009054507
weighted_max3SATIsing_sparse_L=156_2.h5,310,0.012799167533818939,-94.8024,-95.08972,-95.08972,0.0,-0.30307567,0.057600668,1.586386453,0.007614633
weighted_max3SATIsing_sparse_L=156_3.h5,310,0.012819979188345473,-90.138,-90.245224,-90.245224,0.0,-0.11895484,0.052651539,1.600280605,0.006990652
weighted_max3SATIsing_sparse_L=156_4.h5,310,0.013152965660770032,-97.878845,-97.9954,-97.9954,0.0,-0.11908014,0.056672355,1.630311318,0.007826055
weighted_max3SATIsing_sparse_L=156_5.h5,310,0.013090530697190426,-99.72934,-99.9533,-99.95329,7.632959e-6,-0.22456104,0.055271888,1.618731815,0.00828134
weighted_max3SATIsing_sparse_L=156_6.h5,310,0.013007284079084287,-98.77651,-98.91788,-98.917885,-7.712857e-6,-0.14312378,0.056868353,1.609963982,0.007451124
weighted_max3SATIsing_sparse_L=156_7.h5,310,0.012882414151925078,-101.26832,-101.3819,-101.38189,7.5254015e-6,-0.11214876,0.052395238,1.594704995,0.006947212
weighted_max3SATIsing_sparse_L=156_8.h5,310,0.012778355879292404,-99.38076,-99.384056,-99.38405,7.676679e-6,-0.0033087581,0.058164233,1.579154589,0.007995526
weighted_max3SATIsing_sparse_L=156_9.h5,310,0.012757544224765868,-99.431786,-99.650826,-99.65083,-7.656128e-6,-0.22029933,0.052902494,1.582055928,0.007368682
weighted_max3SATIsing_sparse_L=433_1.h5,864,0.004597479423868313,-271.69357,-272.8769,-272.8769,0.0,-0.43553445,0.061935668,4.413611699,0.020373897
weighted_max3SATIsing_sparse_L=433_10.h5,864,0.004543895747599451,-265.073,-266.64883,-266.6476,0.0004577943,-0.59403086,0.06033737,4.384437765,0.0185696
weighted_max3SATIsing_sparse_L=433_2.h5,864,0.004688571673525377,-272.18286,-273.9178,-273.9178,0.0,-0.6374113,0.065417339,4.490551667,0.023939893
weighted_max3SATIsing_sparse_L=433_3.h5,864,0.004672496570644719,-272.49475,-273.8522,-273.8522,0.0,-0.49815726,0.064862044,4.486581428,0.019728016
weighted_max3SATIsing_sparse_L=433_4.h5,864,0.004634987997256515,-266.2532,-267.65573,-267.65576,-1.1401803e-5,-0.5267758,0.061409798,4.4592238,0.017114996
weighted_max3SATIsing_sparse_L=433_5.h5,864,0.00472608024691358,-253.33698,-255.66315,-255.66316,-5.968318e-6,-0.9182186,0.062725753,4.55946657,0.02118144
weighted_max3SATIsing_sparse_L=433_6.h5,864,0.004565329218106996,-268.2412,-269.72717,-269.72717,0.0,-0.55396485,0.063770736,4.39146852,0.016574373
weighted_max3SATIsing_sparse_L=433_7.h5,864,0.00465642146776406,-270.31183,-271.98038,-271.98038,0.0,-0.6172681,0.061020932,4.469593934,0.021393353
weighted_max3SATIsing_sparse_L=433_8.h5,864,0.004584083504801098,-262.59348,-264.1853,-264.1853,0.0,-0.60619456,0.06830842,4.411645355,0.016918947
weighted_max3SATIsing_sparse_L=433_9.h5,864,0.004651063100137174,-265.29807,-266.9216,-266.9216,0.0,-0.61196643,0.06237265,4.467552527,0.019368519
weighted_max3SATIsing_sparse_L=1000_1.h5,1998,0.002020038056074092,-614.5118,-620.1845,-620.18445,9.841451e-6,-0.9231179,0.115864928,11.943713535,0.04656641
weighted_max3SATIsing_sparse_L=1000_10.h5,1998,0.002000999998997997,-629.5484,-634.7753,-634.7609,0.002269196,-0.8279784,0.107280474,10.253420865,0.043029856
weighted_max3SATIsing_sparse_L=1000_2.h5,1998,0.0020110200290380472,-610.8436,-614.9646,-614.9464,0.002957646,-0.6716585,0.109992434,10.31260131,0.039429079
weighted_max3SATIsing_sparse_L=1000_3.h5,1998,0.002006010014018022,-614.5298,-619.5852,-619.57947,0.0009259912,-0.8217149,0.11247299,10.288930761,0.040040046
weighted_max3SATIsing_sparse_L=1000_4.h5,1998,0.0019994969944919895,-595.84143,-601.90906,-601.9067,0.0003954702,-1.0179296,0.109861694,10.289649572,0.042304205
weighted_max3SATIsing_sparse_L=1000_5.h5,1998,0.001999997995993992,-621.25446,-626.4029,-626.40137,0.00024359385,-0.82847077,0.109321421,10.331362516,0.040277944
weighted_max3SATIsing_sparse_L=1000_6.h5,1998,0.0019934849764679592,-593.618,-600.3653,-600.3475,0.0029685702,-1.1336402,0.114802689,10.283105142,0.044284652
weighted_max3SATIsing_sparse_L=1000_7.h5,1998,0.002014026038050062,-603.9933,-610.3248,-610.3248,0.0,-1.0482804,0.110452324,10.3468275,0.042501052
weighted_max3SATIsing_sparse_L=1000_8.h5,1998,0.001994987980973967,-634.8371,-639.9828,-639.9828,0.0,-0.81055295,0.110524788,10.205668592,0.036291138
weighted_max3SATIsing_sparse_L=1000_9.h5,1998,0.002000999998997997,-622.1578,-627.3827,-627.35876,0.0038135867,-0.8359598,0.111437911,10.260452271,0.040518518
weighted_max3SATIsing_sparse_L=10000_1.h5,19998,0.00019969993799059873,-6117.4277,-6195.95,-6195.439,0.008251042,-1.2752292,0.831530321,124.714885841,0.634349671
weighted_max3SATIsing_sparse_L=10000_10.h5,19998,0.00020017003200470062,-6134.244,-6208.0767,-6207.6807,0.0063787242,-1.1971569,0.833284542,125.027937037,0.729045462
weighted_max3SATIsing_sparse_L=10000_2.h5,19998,0.00019999499699944993,-6168.8047,-6242.287,-6241.9414,0.005538084,-1.1855898,0.820924677,124.76901491,0.56310599
weighted_max3SATIsing_sparse_L=10000_3.h5,19998,0.00020094018602780371,-6161.848,-6238.2764,-6237.7725,0.008077651,-1.2321678,0.814894848,125.301908884,0.48428015
weighted_max3SATIsing_sparse_L=10000_4.h5,19998,0.0002008701720257034,-6144.8486,-6220.343,-6219.832,0.008210837,-1.2202644,0.829050546,125.271214196,0.690348797
weighted_max3SATIsing_sparse_L=10000_5.h5,19998,0.00019997999399899987,-6187.345,-6260.293,-6259.831,0.007378474,-1.1715176,0.827768516,124.755601071,0.659360189
weighted_max3SATIsing_sparse_L=10000_6.h5,19998,0.00020011002000290038,-6225.1504,-6297.6187,-6297.213,0.0064430977,-1.1576025,0.834432916,124.682086676,0.698272414
weighted_max3SATIsing_sparse_L=10000_7.h5,19998,0.00019962992398849845,-6161.8916,-6236.6494,-6236.214,0.0069836676,-1.2061598,0.830975538,124.536770897,0.707618266
weighted_max3SATIsing_sparse_L=10000_8.h5,19998,0.00020000499899974997,-6223.2485,-6299.3745,-6298.965,0.006503312,-1.2166685,0.836299983,124.949323473,0.699621283
weighted_max3SATIsing_sparse_L=10000_9.h5,19998,0.00019938487498114747,-6172.3657,-6249.654,-6249.1353,0.008297334,-1.2437618,0.834478329,124.498574687,0.50815852
weighted_max3SATIsing_sparse_L=20000_1.h5,39998,0.00010010376012575318,-12204.954,-12362.686,-12361.566,0.009052569,-1.2831863,1.609509627,250.665330964,0.913049959
