instance,size,density,cplex_energy,runtime_cplex
weighted_max3SATIsing_sparse_L=100_1.h5,198,0.02066115702479339,-67.42223,0.005838026
weighted_max3SATIsing_sparse_L=100_10.h5,198,0.01969186817671666,-63.207115,0.005634026
weighted_max3SATIsing_sparse_L=100_2.h5,198,0.019589837771655953,-58.564102,0.005494929
weighted_max3SATIsing_sparse_L=100_3.h5,198,0.01964085297418631,-67.84631,0.005773601
weighted_max3SATIsing_sparse_L=100_4.h5,198,0.01928374655647383,-57.687733,0.005235455
weighted_max3SATIsing_sparse_L=100_5.h5,198,0.020202020202020204,-64.65024,0.00577793
weighted_max3SATIsing_sparse_L=100_6.h5,198,0.019844913784307725,-67.74759,0.005569532
weighted_max3SATIsing_sparse_L=100_7.h5,198,0.020610141822263034,-58.539265,0.005939021
weighted_max3SATIsing_sparse_L=100_8.h5,198,0.020406081012141617,-62.922474,0.005608937
weighted_max3SATIsing_sparse_L=100_9.h5,198,0.020253035404550555,-63.350773,0.005646584
weighted_max3SATIsing_sparse_L=156_1.h5,310,0.012903225806451613,-92.84442,0.007490091
weighted_max3SATIsing_sparse_L=156_10.h5,310,0.013090530697190426,-88.609665,0.009054507
weighted_max3SATIsing_sparse_L=156_2.h5,310,0.012799167533818939,-95.08972,0.007614633
weighted_max3SATIsing_sparse_L=156_3.h5,310,0.012819979188345473,-90.245224,0.006990652
weighted_max3SATIsing_sparse_L=156_4.h5,310,0.013152965660770032,-97.9954,0.007826055
weighted_max3SATIsing_sparse_L=156_5.h5,310,0.013090530697190426,-99.9533,0.00828134
weighted_max3SATIsing_sparse_L=156_6.h5,310,0.013007284079084287,-98.91788,0.007451124
weighted_max3SATIsing_sparse_L=156_7.h5,310,0.012882414151925078,-101.3819,0.006947212
weighted_max3SATIsing_sparse_L=156_8.h5,310,0.012778355879292404,-99.384056,0.007995526
weighted_max3SATIsing_sparse_L=156_9.h5,310,0.012757544224765868,-99.650826,0.007368682
weighted_max3SATIsing_sparse_L=433_1.h5,864,0.004597479423868313,-272.8769,0.020373897
weighted_max3SATIsing_sparse_L=433_10.h5,864,0.004543895747599451,-266.64883,0.0185696
weighted_max3SATIsing_sparse_L=433_2.h5,864,0.004688571673525377,-273.9178,0.023939893
weighted_max3SATIsing_sparse_L=433_3.h5,864,0.004672496570644719,-273.8522,0.019728016
weighted_max3SATIsing_sparse_L=433_4.h5,864,0.004634987997256515,-267.65573,0.017114996
weighted_max3SATIsing_sparse_L=433_5.h5,864,0.00472608024691358,-255.66315,0.02118144
weighted_max3SATIsing_sparse_L=433_6.h5,864,0.004565329218106996,-269.72717,0.016574373
weighted_max3SATIsing_sparse_L=433_7.h5,864,0.00465642146776406,-271.98038,0.021393353
weighted_max3SATIsing_sparse_L=433_8.h5,864,0.004584083504801098,-264.1853,0.016918947
weighted_max3SATIsing_sparse_L=433_9.h5,864,0.004651063100137174,-266.9216,0.019368519
weighted_max3SATIsing_sparse_L=1000_1.h5,1998,0.002020038056074092,-620.1845,0.04656641
weighted_max3SATIsing_sparse_L=1000_10.h5,1998,0.002000999998997997,-634.7753,0.043029856
weighted_max3SATIsing_sparse_L=1000_2.h5,1998,0.0020110200290380472,-614.9646,0.039429079
weighted_max3SATIsing_sparse_L=1000_3.h5,1998,0.002006010014018022,-619.5852,0.040040046
weighted_max3SATIsing_sparse_L=1000_4.h5,1998,0.0019994969944919895,-601.90906,0.042304205
weighted_max3SATIsing_sparse_L=1000_5.h5,1998,0.001999997995993992,-626.4029,0.040277944
weighted_max3SATIsing_sparse_L=1000_6.h5,1998,0.0019934849764679592,-600.3653,0.044284652
weighted_max3SATIsing_sparse_L=1000_7.h5,1998,0.002014026038050062,-610.3248,0.042501052
weighted_max3SATIsing_sparse_L=1000_8.h5,1998,0.001994987980973967,-639.9828,0.036291138
weighted_max3SATIsing_sparse_L=1000_9.h5,1998,0.002000999998997997,-627.3827,0.040518518
weighted_max3SATIsing_sparse_L=10000_1.h5,19998,0.00019969993799059873,-6195.95,0.634349671
weighted_max3SATIsing_sparse_L=10000_10.h5,19998,0.00020017003200470062,-6208.0767,0.729045462
weighted_max3SATIsing_sparse_L=10000_2.h5,19998,0.00019999499699944993,-6242.287,0.56310599
weighted_max3SATIsing_sparse_L=10000_3.h5,19998,0.00020094018602780371,-6238.2764,0.48428015
weighted_max3SATIsing_sparse_L=10000_4.h5,19998,0.0002008701720257034,-6220.343,0.690348797
weighted_max3SATIsing_sparse_L=10000_5.h5,19998,0.00019997999399899987,-6260.293,0.659360189
weighted_max3SATIsing_sparse_L=10000_6.h5,19998,0.00020011002000290038,-6297.6187,0.698272414
weighted_max3SATIsing_sparse_L=10000_7.h5,19998,0.00019962992398849845,-6236.6494,0.707618266
weighted_max3SATIsing_sparse_L=10000_8.h5,19998,0.00020000499899974997,-6299.3745,0.699621283
weighted_max3SATIsing_sparse_L=10000_9.h5,19998,0.00019938487498114747,-6249.654,0.50815852
